"","OTU","Sample","Abundance","replicate","Description","treatment","material","polymer","timepoint.days.","station","detail","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2861","asv.7862","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella","unassigned"
"2862","asv.7863","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Haematobacter","massiliensis/missouriensis"
"2863","asv.8379","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","unassigned","unassigned","unassigned"
"2864","asv.8380","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unassigned"
"2865","asv.8381","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Armatimonadota","unassigned","unassigned","unassigned","unassigned","unassigned"
"2866","asv.8382","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium","unassigned"
"2867","asv.8383","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","unassigned","unassigned","unassigned"
"2868","asv.8384","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Turicella","unassigned"
"2869","asv.8849","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a","unassigned"
"2870","asv.8850","NIOZ322.253.238",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","unassigned"
"2871","asv.245","NIOZ322.255.240",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","acidovorans/cf./lacustris/tsuruhatensis"
"2872","asv.364","NIOZ322.255.240",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","baumannii/junii/seohaensis/soli/towneri/venetianus"
"2873","asv.381","NIOZ322.255.240",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Cloacibacterium","normanense"
"2874","asv.415","NIOZ322.255.240",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","aeruginosa/denitrificans/fluorescens/hussainii/mendocina/otitidis/phage/protegens/putida/sihuiensis/tropicalis"
"2875","asv.435","NIOZ322.255.240",0,"Neg_PCR","Neg_PCR","no","no","Neg_PCR","Neg_PCR","Neg_PCR","Neg_PCR","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","algeriense/americanum/arachidis/betae/cajani/canariense/centrosematis/daqingense/denitrificans/diazoefficiens/elkanii/embrapense/erythrophlei/ferriligni/group/guangxiense/huanghuaihaiense/icense/ingae/iriomotense/japonicum/jicamae/lablabi/liaoningense/lupini/mercantei/namibiense/neotropicale/ottawaense/pachyrhizi/paxllaeri/retamae/stylosanthis/tropiciagri/valentinum/viridifuturi/yuanmingense"
